,date,home_team,score,away_team,stats,half_time,2.5+,total_goals,btts
386,Sa 2 Apr,Chelsea,1 - 4,Brentford,stats,(0-0),+,5,+
387,Sa 2 Apr,Leeds Utd,1 - 1,Southampton,stats,(1-0),-,2,+
388,Sa 2 Apr,Wolverhampton,2 - 1,Aston Villa,stats,(2-0),+,3,+
389,Sa 2 Apr,Manchester Utd,1 - 1,Leicester City,stats,(0-0),-,2,+
390,,,,,,,,,
391,Su 3 Apr,West Ham Utd,2 - 1,Everton,stats,(1-0),+,3,+
392,Su 3 Apr,Tottenham,5 - 1,Newcastle Utd,stats,(1-1),+,6,+
393,,,,,,,,,
394,Mo 4 Apr,Crystal Palace,3 - 0,Arsenal,stats,(2-0),+,3,-
395,,,,,,,,,
396,We 6 Apr,Burnley,3 - 2,Everton,stats,(1-2),+,5,+
397,,,,,,,,,
398,Fr 8 Apr,Newcastle Utd,1 - 0,Wolverhampton,stats,(0-0),-,1,-
399,,,,,,,,,
400,Sa 9 Apr,Everton,1 - 0,Manchester Utd,stats,(1-0),-,1,-
401,Sa 9 Apr,Arsenal,1 - 2,Brighton,stats,(0-1),+,3,+
402,Sa 9 Apr,Southampton,0 - 6,Chelsea,stats,(0-4),+,6,-
403,Sa 9 Apr,Watford,0 - 3,Leeds Utd,stats,(0-1),+,3,-
404,Sa 9 Apr,Aston Villa,0 - 4,Tottenham,stats,(0-1),+,4,-
405,,,,,,,,,
406,Su 10 Apr,Brentford,2 - 0,West Ham Utd,stats,(0-0),-,2,-
407,Su 10 Apr,Leicester City,2 - 1,Crystal Palace,stats,(2-0),+,3,+
408,Su 10 Apr,Norwich City,2 - 0,Burnley,stats,(1-0),-,2,-
409,Su 10 Apr,Manchester City,2 - 2,Liverpool,stats,(2-1),+,4,+
410,,,,,,,,,
411,Sa 16 Apr,Tottenham,0 - 1,Brighton,stats,(0-0),-,1,-
412,Sa 16 Apr,Manchester Utd,3 - 2,Norwich City,stats,(2-1),+,5,+
413,Sa 16 Apr,Southampton,1 - 0,Arsenal,stats,(1-0),-,1,-
414,Sa 16 Apr,Watford,1 - 2,Brentford,stats,(0-1),+,3,+
415,,,,,,,,,
416,Su 17 Apr,Newcastle Utd,2 - 1,Leicester City,stats,(1-1),+,3,+
417,Su 17 Apr,West Ham Utd,1 - 1,Burnley,stats,(0-1),-,2,+
418,,,,,,,,,
419,Tu 19 Apr,Liverpool,4 - 0,Manchester Utd,stats,(2-0),+,4,-
420,,,,,,,,,
421,We 20 Apr,Chelsea,2 - 4,Arsenal,stats,(2-2),+,6,+
422,We 20 Apr,Everton,1 - 1,Leicester City,stats,(0-1),-,2,+
423,We 20 Apr,Newcastle Utd,1 - 0,Crystal Palace,stats,(1-0),-,1,-
424,We 20 Apr,Manchester City,3 - 0,Brighton,stats,(0-0),+,3,-
425,,,,,,,,,
426,Th 21 Apr,Burnley,2 - 0,Southampton,stats,(2-0),-,2,-
427,,,,,,,,,
428,Sa 23 Apr,Arsenal,3 - 1,Manchester Utd,stats,(2-1),+,4,+
429,Sa 23 Apr,Leicester City,0 - 0,Aston Villa,stats,(0-0),-,0,-
430,Sa 23 Apr,Manchester City,5 - 1,Watford,stats,(3-1),+,6,+
431,Sa 23 Apr,Norwich City,0 - 3,Newcastle Utd,stats,(0-2),+,3,-
432,Sa 23 Apr,Brentford,0 - 0,Tottenham,stats,(0-0),-,0,-
433,,,,,,,,,
434,Su 24 Apr,Brighton,2 - 2,Southampton,stats,(2-1),+,4,+
435,Su 24 Apr,Burnley,1 - 0,Wolverhampton,stats,(0-0),-,1,-
436,Su 24 Apr,Chelsea,1 - 0,West Ham Utd,stats,(0-0),-,1,-
437,Su 24 Apr,Liverpool,2 - 0,Everton,stats,(0-0),-,2,-
438,,,,,,,,,
439,Mo 25 Apr,Crystal Palace,0 - 0,Leeds Utd,stats,(0-0),-,0,-
440,,,,,,,,,
441,Th 28 Apr,Manchester Utd,1 - 1,Chelsea,stats,(0-0),-,2,+
442,,,,,,,,,
443,Sa 30 Apr,Newcastle Utd,0 - 1,Liverpool,stats,(0-1),-,1,-
444,Sa 30 Apr,Aston Villa,2 - 0,Norwich City,stats,(1-0),-,2,-
445,Sa 30 Apr,Southampton,1 - 2,Crystal Palace,stats,(1-0),+,3,+
446,Sa 30 Apr,Watford,1 - 2,Burnley,stats,(1-0),+,3,+
447,Sa 30 Apr,Wolverhampton,0 - 3,Brighton,stats,(0-1),+,3,-
448,Sa 30 Apr,Leeds Utd,0 - 4,Manchester City,stats,(0-1),+,4,-
449,,,,,,,,,
450,Su 1 May,Everton,1 - 0,Chelsea,stats,(0-0),-,1,-
451,Su 1 May,Tottenham,3 - 1,Leicester City,stats,(1-0),+,4,+
452,Su 1 May,West Ham Utd,1 - 2,Arsenal,stats,(1-1),+,3,+
453,,,,,,,,,
454,Mo 2 May,Manchester Utd,3 - 0,Brentford,stats,(1-0),+,3,-
455,,,,,,,,,
456,Sa 7 May,Brentford,3 - 0,Southampton,stats,(2-0),+,3,-
457,Sa 7 May,Burnley,1 - 3,Aston Villa,stats,(0-2),+,4,+
458,Sa 7 May,Chelsea,2 - 2,Wolverhampton,stats,(0-0),+,4,+
459,Sa 7 May,Crystal Palace,1 - 0,Watford,stats,(1-0),-,1,-
460,Sa 7 May,Brighton,4 - 0,Manchester Utd,stats,(1-0),+,4,-
461,Sa 7 May,Liverpool,1 - 1,Tottenham,stats,(0-0),-,2,+
462,,,,,,,,,
463,Su 8 May,Arsenal,2 - 1,Leeds Utd,stats,(2-0),+,3,+
464,Su 8 May,Leicester City,1 - 2,Everton,stats,(1-2),+,3,+
465,Su 8 May,Norwich City,0 - 4,West Ham Utd,stats,(0-3),+,4,-
466,Su 8 May,Manchester City,5 - 0,Newcastle Utd,stats,(2-0),+,5,-
467,,,,,,,,,
468,Tu 10 May,Aston Villa,1 - 2,Liverpool,stats,(1-1),+,3,+
469,,,,,,,,,
470,We 11 May,Leeds Utd,0 - 3,Chelsea,stats,(0-1),+,3,-
471,We 11 May,Leicester City,3 - 0,Norwich City,stats,(0-0),+,3,-
472,We 11 May,Watford,0 - 0,Everton,stats,(0-0),-,0,-
473,We 11 May,Wolverhampton,1 - 5,Manchester City,stats,(1-3),+,6,+
474,,,,,,,,,
475,Th 12 May,Tottenham,3 - 0,Arsenal,stats,(2-0),+,3,-
476,,,,,,,,,
477,Su 15 May,Tottenham,1 - 0,Burnley,stats,(1-0),-,1,-
478,Su 15 May,Aston Villa,1 - 1,Crystal Palace,stats,(0-0),-,2,+
479,Su 15 May,Leeds Utd,1 - 1,Brighton,stats,(0-1),-,2,+
480,Su 15 May,Watford,1 - 5,Leicester City,stats,(1-2),+,6,+
481,Su 15 May,West Ham Utd,2 - 2,Manchester City,stats,(2-0),+,4,+
482,Su 15 May,Wolverhampton,1 - 1,Norwich City,stats,(0-1),-,2,+
483,Su 15 May,Everton,2 - 3,Brentford,stats,(2-1),+,5,+
484,,,,,,,,,
485,Mo 16 May,Newcastle Utd,2 - 0,Arsenal,stats,(0-0),-,2,-
486,,,,,,,,,
487,Tu 17 May,Southampton,1 - 2,Liverpool,stats,(1-1),+,3,+
488,,,,,,,,,
489,Th 19 May,Everton,3 - 2,Crystal Palace,stats,(0-2),+,5,+
490,Th 19 May,Aston Villa,1 - 1,Burnley,stats,(0-1),-,2,+
491,Th 19 May,Chelsea,1 - 1,Leicester City,stats,(1-1),-,2,+
492,,,,,,,,,
493,Su 22 May,Arsenal,5 - 1,Everton,stats,(2-1),+,6,+
494,Su 22 May,Brentford,1 - 2,Leeds Utd,stats,(0-0),+,3,+
495,Su 22 May,Brighton,3 - 1,West Ham Utd,stats,(0-1),+,4,+
496,Su 22 May,Burnley,1 - 2,Newcastle Utd,stats,(0-1),+,3,+
497,Su 22 May,Chelsea,2 - 1,Watford,stats,(1-0),+,3,+
498,Su 22 May,Crystal Palace,1 - 0,Manchester Utd,stats,(1-0),-,1,-
499,Su 22 May,Leicester City,4 - 1,Southampton,stats,(0-0),+,5,+
500,Su 22 May,Liverpool,3 - 1,Wolverhampton,stats,(1-1),+,4,+
501,Su 22 May,Manchester City,3 - 2,Aston Villa,stats,(0-1),+,5,+
502,Su 22 May,Norwich City,0 - 5,Tottenham,stats,(0-2),+,5,-
