,date,home_team,score,away_team,stats,half_time,2.5+,total_goals,btts
403,Sa 13 Apr,Burnley,14:00,Brighton,h2h,,,,
404,Sa 13 Apr,Chelsea,14:00,Everton,h2h,,,,
405,Sa 13 Apr,Liverpool,14:00,Crystal Palace,h2h,,,,
406,Sa 13 Apr,Manchester City,14:00,Luton Town,h2h,,,,
407,Sa 13 Apr,Newcastle Utd,14:00,Tottenham,h2h,,,,
408,Sa 13 Apr,Nottm Forest,14:00,Wolverhampton,h2h,,,,
409,Sa 13 Apr,West Ham Utd,14:00,Fulham,h2h,,,,
410,,,,,,,,,
411,Sa 20 Apr,Aston Villa,14:00,Bournemouth,h2h,,,,
412,Sa 20 Apr,Brighton,14:00,Chelsea,h2h,,,,
413,Sa 20 Apr,Crystal Palace,14:00,West Ham Utd,h2h,,,,
414,Sa 20 Apr,Everton,14:00,Nottm Forest,h2h,,,,
415,Sa 20 Apr,Fulham,14:00,Liverpool,h2h,,,,
416,Sa 20 Apr,Luton Town,14:00,Brentford,h2h,,,,
417,Sa 20 Apr,Manchester Utd,14:00,Newcastle Utd,h2h,,,,
418,Sa 20 Apr,Sheffield Utd,14:00,Burnley,h2h,,,,
419,Sa 20 Apr,Tottenham,14:00,Manchester City,h2h,,,,
420,Sa 20 Apr,Wolverhampton,14:00,Arsenal,h2h,,,,
421,,,,,,,,,
422,Sa 27 Apr,Aston Villa,14:00,Chelsea,h2h,,,,
423,Sa 27 Apr,Bournemouth,14:00,Brighton,h2h,,,,
424,Sa 27 Apr,Everton,14:00,Brentford,h2h,,,,
425,Sa 27 Apr,Fulham,14:00,Crystal Palace,h2h,,,,
426,Sa 27 Apr,Manchester Utd,14:00,Burnley,h2h,,,,
427,Sa 27 Apr,Newcastle Utd,14:00,Sheffield Utd,h2h,,,,
428,Sa 27 Apr,Nottm Forest,14:00,Manchester City,h2h,,,,
429,Sa 27 Apr,Tottenham,14:00,Arsenal,h2h,,,,
430,Sa 27 Apr,West Ham Utd,14:00,Liverpool,h2h,,,,
431,Sa 27 Apr,Wolverhampton,14:00,Luton Town,h2h,,,,
432,,,,,,,,,
433,Sa 4 May,Arsenal,14:00,Bournemouth,h2h,,,,
434,Sa 4 May,Brentford,14:00,Fulham,h2h,,,,
435,Sa 4 May,Brighton,14:00,Aston Villa,h2h,,,,
436,Sa 4 May,Burnley,14:00,Newcastle Utd,h2h,,,,
437,Sa 4 May,Chelsea,14:00,West Ham Utd,h2h,,,,
438,Sa 4 May,Crystal Palace,14:00,Manchester Utd,h2h,,,,
439,Sa 4 May,Liverpool,14:00,Tottenham,h2h,,,,
440,Sa 4 May,Luton Town,14:00,Everton,h2h,,,,
441,Sa 4 May,Manchester City,14:00,Wolverhampton,h2h,,,,
442,Sa 4 May,Sheffield Utd,14:00,Nottm Forest,h2h,,,,
443,,,,,,,,,
444,Sa 11 May,Aston Villa,14:00,Liverpool,h2h,,,,
445,Sa 11 May,Bournemouth,14:00,Brentford,h2h,,,,
446,Sa 11 May,Everton,14:00,Sheffield Utd,h2h,,,,
447,Sa 11 May,Fulham,14:00,Manchester City,h2h,,,,
448,Sa 11 May,Manchester Utd,14:00,Arsenal,h2h,,,,
449,Sa 11 May,Newcastle Utd,14:00,Brighton,h2h,,,,
450,Sa 11 May,Nottm Forest,14:00,Chelsea,h2h,,,,
451,Sa 11 May,Tottenham,14:00,Burnley,h2h,,,,
452,Sa 11 May,West Ham Utd,14:00,Luton Town,h2h,,,,
453,Sa 11 May,Wolverhampton,14:00,Crystal Palace,h2h,,,,
454,,,,,,,,,
455,Su 19 May,Arsenal,15:00,Everton,h2h,,,,
456,Su 19 May,Brentford,15:00,Newcastle Utd,h2h,,,,
457,Su 19 May,Brighton,15:00,Manchester Utd,h2h,,,,
458,Su 19 May,Burnley,15:00,Nottm Forest,h2h,,,,
459,Su 19 May,Chelsea,15:00,Bournemouth,h2h,,,,
460,Su 19 May,Crystal Palace,15:00,Aston Villa,h2h,,,,
461,Su 19 May,Liverpool,15:00,Wolverhampton,h2h,,,,
462,Su 19 May,Luton Town,15:00,Fulham,h2h,,,,
463,Su 19 May,Manchester City,15:00,West Ham Utd,h2h,,,,
464,Su 19 May,Sheffield Utd,15:00,Tottenham,h2h,,,,
